,Populist,Non-populist,FvD,SP,GroenLinks,D66,PVV,ChristenUnie,PvdA,VVD,SGP
words,"{'average': 28.27257609717302, 'sd': 12.588382898557633, 'variance': 158.46738400069827}","{'average': 26.84722066254913, 'sd': 12.26310225852188, 'variance': 150.38367700296442}","{'average': 33.81976983148377, 'sd': 10.33359457138535, 'variance': 106.78317676576475}","{'average': 28.388773388773387, 'sd': 9.775138871477292, 'variance': 95.55333995666636}","{'average': 27.813181919394346, 'sd': 12.12985719941111, 'variance': 147.1334356781055}","{'average': 28.552876027152553, 'sd': 12.788058866401666, 'variance': 163.53444957055427}","{'average': 23.380850303679885, 'sd': 13.803953402478259, 'variance': 190.54912953779112}","{'average': 24.0390355912744, 'sd': 12.333049174481543, 'variance': 152.10410194017987}","{'average': 26.665788703541118, 'sd': 11.810650425635806, 'variance': 139.49146347657125}","{'average': 21.07742537313433, 'sd': 10.191660225273207, 'variance': 103.86993814741591}","{'average': 28.04965089216447, 'sd': 11.469689618302116, 'variance': 131.55377994018735}"
sentences,"{'average': 3.020461282625985, 'sd': 1.4435917060368817, 'variance': 2.0839570137384746}","{'average': 2.8676586187535094, 'sd': 1.3131108265945495, 'variance': 1.7242600429198212}","{'average': 3.758117550349363, 'sd': 1.4220609582001307, 'variance': 2.0222573688370735}","{'average': 2.7926937926937927, 'sd': 1.2067649463212855, 'variance': 1.4562816356698152}","{'average': 2.732353596081051, 'sd': 1.231434294388457, 'variance': 1.5164304213959972}","{'average': 3.180064308681672, 'sd': 1.3610788950816965, 'variance': 1.8525357586368116}","{'average': 2.516255805644873, 'sd': 1.3254065499425598, 'variance': 1.756702522630639}","{'average': 2.314580941446613, 'sd': 1.2064716525887158, 'variance': 1.455573848500147}","{'average': 2.768803043605502, 'sd': 1.3121697326235835, 'variance': 1.7217894072134463}","{'average': 2.841884328358209, 'sd': 1.206596991564668, 'variance': 1.4558763000529071}","{'average': 2.660977501939488, 'sd': 1.3272951105868314, 'variance': 1.7617123105877086}"
syllables,"{'average': 48.13303448774492, 'sd': 22.09907823102953, 'variance': 488.3692586611633}","{'average': 43.728635597978666, 'sd': 21.52403497820805, 'variance': 463.2840817431236}","{'average': 57.106041923551174, 'sd': 18.36324176844861, 'variance': 337.20864824649567}","{'average': 46.70864270864271, 'sd': 17.107577113164115, 'variance': 292.6691946828567}","{'average': 46.86617679804053, 'sd': 21.546915212325388, 'variance': 464.26955516713923}","{'average': 46.231511254019296, 'sd': 22.963257078919014, 'variance': 527.3111756725242}","{'average': 41.19006788138621, 'sd': 24.860790577557232, 'variance': 618.0589081411584}","{'average': 39.43283582089552, 'sd': 21.25650628822952, 'variance': 451.83905958154116}","{'average': 42.093064091308165, 'sd': 19.743040587249517, 'variance': 389.7876516297817}","{'average': 34.165578358208954, 'sd': 18.022532275687244, 'variance': 324.8116696281884}","{'average': 45.07214895267649, 'sd': 19.485673162847373, 'variance': 379.6914586093104}"
polysyllables,"{'average': 5.671101149591498, 'sd': 3.234869387311855, 'variance': 10.464379952967374}","{'average': 4.725772038180797, 'sd': 3.0991175378559133, 'variance': 9.6045295134461}","{'average': 6.755034936292643, 'sd': 3.037916359691197, 'variance': 9.228935808479413}","{'average': 5.185031185031185, 'sd': 2.730968684000688, 'variance': 7.458189952992449}","{'average': 5.2689824092629705, 'sd': 3.1839985297787305, 'variance': 10.137846637633118}","{'average': 4.924080028581637, 'sd': 3.3364597881368345, 'variance': 11.13196391785409}","{'average': 5.021257591997142, 'sd': 3.429389569072265, 'variance': 11.760712816461655}","{'average': 4.363949483352468, 'sd': 2.9816946332717946, 'variance': 8.890502886081821}","{'average': 4.432835820895522, 'sd': 2.739004720711637, 'variance': 7.502146860080632}","{'average': 3.644589552238806, 'sd': 2.6938966082628797, 'variance': 7.257078936010247}","{'average': 4.791311093871218, 'sd': 2.758562758121983, 'variance': 7.609668490497562}"
flesch_kincaid,"{'average': 51.72284464950595, 'sd': 29.58903714770216, 'variance': 875.5111193280984}","{'average': 61.17381224836237, 'sd': 26.45889483828246, 'variance': 700.0731160632902}","{'average': 54.35109512097828, 'sd': 21.434946852528547, 'variance': 459.45694657072346}","{'average': 56.007586839435625, 'sd': 22.804593752739393, 'variance': 520.0494962274806}","{'average': 54.227776358030944, 'sd': 27.71748061540843, 'variance': 768.2587316655421}","{'average': 64.67615417386767, 'sd': 25.705024687527175, 'variance': 660.7482941863815}","{'average': 46.86114515903121, 'sd': 37.55364734379962, 'variance': 1410.2764288224682}","{'average': 58.50599992847043, 'sd': 29.494669861032204, 'variance': 869.9355502112815}","{'average': 63.78528450451106, 'sd': 23.63916031833185, 'variance': 558.8099005557953}","{'average': 63.92771616203788, 'sd': 27.977796934682548, 'variance': 782.7571213183322}","{'average': 60.463518163758195, 'sd': 22.31771387172624, 'variance': 498.0803524602419}"
SMOG,"{'average': 10.92346013233125, 'sd': 3.033097906309472, 'variance': 9.199682909258902}","{'average': 10.151081331036458, 'sd': 3.2450649871505477, 'variance': 10.530446770830386}","{'average': 10.824937359938934, 'sd': 2.375543153484997, 'variance': 5.6432052740694445}","{'average': 10.989154063574736, 'sd': 2.8907813813952066, 'variance': 8.356616995021179}","{'average': 10.826771021476038, 'sd': 3.3782937384118434, 'variance': 11.412868582992669}","{'average': 9.727702218898006, 'sd': 3.179813530764033, 'variance': 10.111214090430025}","{'average': 10.9695873820569, 'sd': 3.5756154108485805, 'variance': 12.785025566297863}","{'average': 10.672230153066648, 'sd': 3.4431157942729054, 'variance': 11.855046372771541}","{'average': 10.217482943602988, 'sd': 3.0041581942510787, 'variance': 9.0249664560859}","{'average': 9.172725668714994, 'sd': 3.0312639158041503, 'variance': 9.188560927256312}","{'average': 10.734738022949555, 'sd': 3.17920862792923, 'variance': 10.107367499899656}"
